LIBID,ZIP,POPU_LSA,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,TOTEXPCO,TOTOPEXP,BKVOL,EBOOK,AUDIO_PH,VIDEO_PH,HRS_OPEN,VISITS,ELMATCIR,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,YEAR
KS0214,66512,4474,0,1,3.25,169339,6566,0,6670,182575,24276,163140,13074,130307,634,2997,2626,25628,617,489,396,18,7071,6533,175,2015
KS0245,66524,1029,1.5,1.5,1.8,61351,15577,2009,21992,100929,11090,101403,14415,130307,757,4247,2284,16795,342,33,26,5,907,772,105,2015
KS0234,66060,909,0,0.88,1.48,45363,15533,220,8085,69201,10437,62072,15912,130307,263,3604,1664,27400,267,67,40,16,965,795,116,2015
KS0032,66413,900,0,0.88,0.91,59148,15980,218,0,75346,6192,37392,12268,132272,460,1039,1650,8965,191,18,14,1,220,186,10,2015
KS0313,66092,1822,0,1.9,1.93,75822,15841,0,3512,95175,9977,93567,18347,130307,214,2441,2080,11200,198,142,46,12,2035,1180,99,2015
KS0040,66414,1405,0,0.78,1.13,37803,15772,0,972,54547,6976,54547,6807,216961,128,1075,1664,8238,101,10,5,0,803,392,0,2015
KS0196,66451,1496,0,0.8,1.53,61500,16232,0,5971,83703,9112,95120,14609,130307,566,2311,1976,8002,178,18,8,5,475,395,30,2015
KS0269,66533,1906,0,2.78,2.78,77538,1186,112,45160,123996,16028,121668,10791,130307,262,3183,2288,36400,338,136,64,4,1315,790,17,2015
KS0141,66439,1732,0,1.69,1.69,58188,21821,104,9554,89667,8420,82624,14888,130307,419,3152,1820,19143,537,247,191,8,3838,3199,47,2015
KS0191,66052,4171,1,1,3,202730,1876,0,8008,212614,23735,163885,9710,130330,622,2078,2733,12277,2044,44,39,2,538,393,5,2015
KS0241,66066,2136,0,0.84,1.29,61029,15939,302,7863,85133,11229,72746,9015,130307,417,838,2340,18000,381,107,97,0,2072,1860,0,2015
KS0280,66539,2020,1,3.6,3.6,87558,1387,153,53283,142381,14877,142044,8691,130307,133,1125,2652,11821,267,29,19,8,225,172,18,2015
KS0066,66088,1894,0.93,0.93,1.43,49648,15862,136,925,66571,10428,87990,12423,130307,189,878,2340,9506,271,68,21,0,869,485,0,2015
KS0294,66086,5192,1,1,6.25,299715,25302,207,17555,342779,24662,343870,25816,130307,1355,3321,3328,79046,1431,168,141,6,1147,1038,8,2015
KS0204,66534,2564,0,1,2.88,119390,19891,225,9550,149056,28606,150381,26849,130307,1404,2343,2652,23408,933,193,113,6,3075,2250,20,2015
KS0277,66538,2006,0,0.9,2.25,131920,19648,250,8097,159915,27168,132808,19070,130307,1284,3772,2652,23027,267,11,11,0,792,792,0,2015
KS0185,66523,2862,1,2,3.8,162850,19741,281,78349,261221,29576,185345,16980,130307,1180,2769,2652,50498,477,207,122,64,1359,963,115,2015
KS0015,66006,4585,0.53,2.71,3.11,130577,19410,0,9637,159624,22881,164520,20286,130307,995,1884,2704,33100,331,108,88,12,2968,2200,135,2015
KS0018,66007,9998,3,7.28,11.63,677636,3747,173,29373,710929,107740,694792,49869,130419,2151,8798,3328,85967,4772,712,385,141,27783,15687,7972,2015
KS0221,66434,3108,1,5.5,5.5,151730,23559,195,667697,843181,39487,255346,32246,130307,674,1718,3172,41089,1762,366,239,0,6320,5012,0,2015
KS0087,66025,7648,1,5.55,5.6,245987,22250,244,27029,295510,31017,247054,12223,130307,352,1554,2704,39500,1261,155,139,15,7067,6756,186,2015
KS0248,66071,5593,2,6.04,6.22,309749,24377,0,9712,343838,29791,486034,23535,130307,1411,1600,3120,28800,899,185,127,52,2663,2288,227,2015
KS0239,66064,4357,0,1,4.2,126103,20247,0,4500,150850,17700,146350,19963,130307,492,2259,2366,21000,40,140,126,14,1727,1557,170,2015
KS0182,66072,2081,0,1.8,1.8,56858,4859,208,4647,66572,2828,57484,8037,130307,261,1478,2080,8845,46,63,60,0,574,539,0,2015
KS0025,66012,7553,2,3,8.53,550267,3231,324,56131,609953,70719,610907,48543,130307,2442,4672,3328,137682,3833,342,296,19,12315,11922,169,2015
KS0180,66833,810,0,0.4,0.65,38740,423,0,138,39301,6193,29043,8374,130307,144,288,1196,3061,133,24,21,3,221,170,14,2015
KS0244,66067,12403,1.6,1.6,13.6,818858,33090,441,44076,896465,112037,864768,58700,130307,2160,4867,1912,81778,1598,846,628,64,12018,9984,752,2015
KS0010,66002,10771,2,3,11.5,493443,31635,250,15660,540988,70315,535951,57501,130586,2194,4112,3120,102484,1582,236,79,36,4081,1846,733,2015
KS0173,66048,36000,3.55,3.55,19.33,1052238,45113,3597,69087,1170035,105605,1049833,68407,130307,2801,5500,3536,144040,6569,794,385,228,14329,10486,1784,2015
KS0238,66061,133062,12.56,12.56,51.36,4291280,43959,0,286786,4622025,599778,4469487,158657,140709,11735,31790,6411,571017,83645,902,512,214,25828,16342,5441,2015
KS0172,66044,92763,18.5,18.5,62,3550000,96143,0,218212,3864355,537071,3854980,149631,130307,24007,21162,3796,691755,48992,1274,709,218,51428,37010,4265,2015
KS0295,66604,174480,29,36,191.53,14787783,59152,14700,2903465,17765100,1634139,16955211,347094,160157,22910,78511,10731,798452,483670,4441,2799,101,114060,60403,1465,2015
KS0161,66101,154083,25,25,127.48,6030054,50967,0,2349396,8430417,991574,11453577,310990,207334,33724,50876,15392,750511,117907,4520,1152,350,38676,22701,2764,2015
KS0156,66212,433657,55.5,56.5,242.6,23299869,145007,0,1263119,24707995,3239460,23498466,734232,174986,101083,137758,34773,2466264,186403,2578,1651,177,70903,48447,5274,2015
KS0112,67736,80,0,0.21,0.21,5218,3677,0,0,8895,751,7070,7350,130307,200,1035,459,3680,0,5,5,0,62,62,0,2015
KS0153,67643,95,0,0.18,0.18,2928,3832,0,319,7079,560,5110,2020,130307,41,13,364,450,129,12,12,0,12,12,0,2015
KS0231,67653,149,0,0,0,1761,3050,0,0,4811,515,2015,2168,130307,84,25,744,150,163,30,30,0,75,75,0,2015
KS0219,67738,258,0,0.15,0.15,4140,3088,0,44,7272,1128,9491,6103,130307,12,10,312,1716,124,3,3,0,17,17,0,2015
KS0114,67737,275,0,0.2,0.2,3000,5243,0,0,8243,667,5600,4615,130307,58,220,400,780,73,22,15,7,171,136,35,2015
KS0175,67645,240,0,0.33,0.33,6394,3582,0,1300,11276,552,7147,6781,130307,62,158,676,3120,86,16,16,0,15,15,0,2015
KS0205,67731,439,0,0.44,0.54,10070,5147,0,7668,22885,2622,21824,9097,130307,125,1441,888,2304,371,10,7,0,91,77,0,2015
KS0002,67622,397,0,0.6,0.6,6332,3884,0,1246,11462,1837,12452,6354,130307,0,74,676,720,60,33,29,0,361,341,0,2015
KS0152,67752,960,0,1.42,2.09,71175,3598,306,13516,88595,11611,73082,13642,130307,556,1362,2138,12355,481,208,58,5,1649,905,42,2015
KS0278,67758,756,0,0.88,0.88,22503,3763,72,1383,27721,6568,24910,7529,130307,150,1,1820,4264,162,25,25,0,246,246,0,2015
KS0285,67756,1312,0,1.4,1.5,37389,6737,0,3010,47136,3805,48498,10176,130307,325,301,1820,5467,126,42,42,0,528,528,0,2015
KS0236,67748,2075,0,3,3,164168,4694,185,2900,171947,11865,135116,16395,130307,642,693,2600,20604,8630,206,169,0,2901,1891,0,2015
KS0237,67749,1749,0,1.83,1.83,61650,10089,0,6258,77997,13391,60072,17267,130307,597,1743,2860,18304,827,165,70,0,1556,1026,0,2015
KS0233,67654,2846,0,4.24,4.39,161299,6460,183,16960,184902,17456,158502,65519,130307,2200,3000,2704,35000,1467,327,235,68,5675,5241,350,2015
KS0279,67740,2321,0,2.25,2.63,57736,5178,0,6799,69713,2575,66745,21700,130307,543,1168,2016,6710,316,55,48,0,1934,1813,0,2015
KS0012,67730,2584,0,0.88,1.09,48630,863,344,28418,78255,10309,61207,16984,130307,309,293,2314,11388,804,44,4,0,324,35,0,2015
KS0113,67642,2566,0,1,2.5,111776,864,187,9658,122485,13370,108442,27674,130307,547,1358,2600,18792,1007,107,91,1,1290,750,12,2015
KS0304,67672,1797,0,1.88,2.23,65822,4215,0,572,70609,11032,67486,23625,130307,263,1246,1560,7775,327,27,22,5,350,323,27,2015
KS0111,67735,4554,0,3.85,4.05,220267,8519,0,11485,240271,26425,237738,41241,130307,2110,1572,2810,52416,1434,602,296,49,7417,4518,500,2015
KS0253,67701,5388,1,1,6.31,251328,8990,7077,45504,312899,29191,310355,39068,130344,1874,1726,3094,64785,1903,782,452,120,11470,6980,1429,2015
FSCS0001,67159,164,0,0.28,0.28,8350,3021,0,484,11855,3501,12373,5982,130836,5,745,572,624,250,28,28,0,106,106,0,2015
KS0250,67566,245,0,0.5,0.63,16812,5859,0,107,22778,2299,21318,6207,130307,330,1593,1040,3640,0,27,18,9,243,219,24,2015
KS0307,67151,239,0,0.15,0.18,1500,78,0,0,1578,2605,5486,3100,130307,20,675,1300,2605,0,28,5,8,176,28,26,2015
KS0293,67581,215,0,0.25,0.25,2631,3190,0,781,6602,899,6687,4334,130307,50,150,505,1355,132,18,14,4,127,123,4,2015
KS0126,67057,175,0,0.33,0.33,4649,4083,0,10462,19194,7788,18666,13062,130319,167,4578,676,2382,299,35,15,7,366,191,23,2015
KS0105,67444,267,0,0.35,0.35,3296,2845,0,100,6241,123,8188,2997,130307,0,95,728,851,2,0,0,0,0,0,0,2015
KS0302,67149,488,0,0.3,0.35,5567,3491,0,2643,11701,697,7552,4118,130307,0,113,624,1523,278,75,55,13,866,736,15,2015
KS0235,67118,475,0,0.41,0.41,6188,4032,0,0,10220,2830,12074,4508,130307,14,60,709,3476,416,18,4,1,595,385,72,2015
KS0192,67457,729,0,0.76,0.76,12602,4755,0,250,17607,1758,18000,13250,130307,0,0,1586,1981,172,68,67,0,1371,501,0,2015
KS0298,67583,378,0,0.38,0.38,10005,2506,0,0,12511,2364,13146,7278,130307,0,83,780,1868,0,10,10,0,10,10,0,2015
KS0091,67427,386,0,0.3,0.3,7400,1607,0,18,9025,3351,9967,4926,130307,45,18,419,387,0,2,2,0,30,30,0,2015
KS0065,67035,470,0,0.25,0.25,9405,3916,0,4565,17886,1522,15081,6537,130307,91,423,1014,6600,179,71,46,1,1127,883,3,2015
KS0008,67514,459,0.43,0.43,0.43,10956,4428,0,0,15384,2033,13639,8594,130307,0,0,884,2586,39,3,3,0,195,195,0,2015
KS0198,67557,543,0,0.33,0.33,11290,4982,0,2664,18936,1633,14678,7775,130307,75,57,676,2112,13,35,31,1,1087,1045,4,2015
KS0262,67570,681,0,2,2,18831,5948,0,6737,31516,12714,16583,13921,130307,65,2677,1976,14350,5531,57,49,4,428,390,26,2015
KS0259,67123,645,0,0.65,0.65,15449,1769,0,323,17541,3218,13942,4793,130307,71,1368,1248,1996,7,11,6,5,115,105,10,2015
KS0176,67074,697,0,0,0,12075,4308,0,318,16701,1490,2722,7151,130307,0,29,208,950,0,13,11,1,475,275,100,2015
KS0316,67154,707,0,1.3,1.33,43946,9372,0,2727,56045,8575,55415,11180,130307,642,1905,1170,11415,77,34,30,0,1033,944,0,2015
KS0283,67140,487,0,0.26,0.26,5466,164,100,0,5730,1759,7895,5166,130307,0,230,546,870,0,10,10,0,21,21,0,2015
KS0011,67009,592,0,0.48,0.51,8500,4876,0,4789,18165,2375,17443,13098,130307,210,701,980,2039,16,25,17,8,263,251,12,2015
KS0069,67004,638,0,0.28,0.38,14735,214,0,28,14977,0,9907,18362,130307,135,386,780,1450,209,4,4,0,62,62,0,2015
KS0203,67464,798,0,0.38,0.38,16689,4568,0,856,22113,3747,20532,8136,130307,11,443,780,2542,0,19,19,0,272,269,3,2015
KS0299,67146,738,0,0.45,0.45,7640,4227,0,0,11867,3076,18366,2623,130307,0,310,868,2196,195,18,6,0,108,32,0,2015
KS0036,67020,893,0,0,0.48,15000,5184,0,0,20184,2856,20212,9612,130307,264,818,988,3310,351,68,56,0,541,457,0,2015
KS0148,67546,1374,0,0.63,0.93,24480,9902,246,1404,36032,6015,34026,13658,130307,123,2173,1716,11180,155,8,6,0,207,200,0,2015
KS0225,67108,1038,0,0.6,0.6,30582,3258,0,1512,35352,15202,39059,11832,130307,399,1129,1352,4181,104,29,20,6,293,253,25,2015
KS0246,67119,1022,0,0.95,0.95,37122,6399,0,338,43859,6158,42662,10760,130307,51,556,1913,8584,183,40,30,0,438,313,0,2015
KS0130,67543,1225,0,1.5,1.75,50050,4865,0,700,55615,9765,45531,16622,130307,125,902,1300,8003,136,81,64,10,1632,1170,300,2015
